id,publicUrl,r2Key,downloadUrl,status
"home-services-card-002-webp","https://photo.goldenyearsphoto.com/home/services/card-002.webp","home/services/card-002.webp","https://2026readdy.goldennextai.com/02-taipei-homepage-service-cards-need-6/goldenyears-taipei-portrait-service-cards-002.jpg","pending"
"home-services-card-003-webp","https://photo.goldenyearsphoto.com/home/services/card-003.webp","home/services/card-003.webp","https://2026readdy.goldennextai.com/02-taipei-homepage-service-cards-need-6/goldenyears-taipei-portrait-service-cards-003.jpg","pending"
"home-services-card-004-webp","https://photo.goldenyearsphoto.com/home/services/card-004.webp","home/services/card-004.webp","https://2026readdy.goldennextai.com/02-taipei-homepage-service-cards-need-6/goldenyears-taipei-portrait-service-cards-004.jpg","pending"
"home-services-card-005-webp","https://photo.goldenyearsphoto.com/home/services/card-005.webp","home/services/card-005.webp","https://2026readdy.goldennextai.com/02-taipei-homepage-service-cards-need-6/goldenyears-taipei-portrait-service-cards-005.jpg","pending"
"home-services-card-006-webp","https://photo.goldenyearsphoto.com/home/services/card-006.webp","home/services/card-006.webp","https://2026readdy.goldennextai.com/02-taipei-homepage-service-cards-need-6/goldenyears-taipei-portrait-service-cards-006.jpg","pending"
"booking-personal-portrait","https://photo.goldenyearsphoto.com/personal-portrait/body-profile.webp","personal-portrait/body-profile.webp","https://res.cloudinary.com/dkpkni7ve/image/upload/v1779409825/body-profile-1_tz8mad.jpg","pending"
"personal-portrait-session-007-webp","https://photo.goldenyearsphoto.com/personal-portrait/session-007.webp","personal-portrait/session-007.webp","https://2026readdy.goldennextai.com/personal-portrait-extra/taipei-personal-portrait-photoshoot-007.jpg","pending"
"personal-portrait-session-012-webp","https://photo.goldenyearsphoto.com/personal-portrait/session-012.webp","personal-portrait/session-012.webp","https://2026readdy.goldennextai.com/photo-inbox/personal-portrait-extra/taipei-personal-portrait-photoshoot-012.jpg","pending"
"photography-featured-highlight-001-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-001.webp","photography/featured/highlight-001.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-001.jpg","pending"
"photography-featured-highlight-002-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-002.webp","photography/featured/highlight-002.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-002.jpg","pending"
"photography-featured-highlight-003-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-003.webp","photography/featured/highlight-003.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-003.jpg","pending"
"photography-featured-highlight-004-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-004.webp","photography/featured/highlight-004.webp","https://2026readdy.goldennextai.com/photo-inbox/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-004.jpg","pending"
